OBJECT_ID,TIER,SOURCE
S14::25e44853ad0f,T1_REGENERATE_SLIB,GRAMMAR_FIRST_PER_SIDE=down
S15::ac373f9fe529,T1_REGENERATE_SLIB,GRAMMAR_INDEX_0
S16::393fe65826e6,T1_REGENERATE_SLIB,GRAMMAR_INDEX_0
S17::3cf289079abb,T1_REGENERATE_SLIB,GRAMMAR_INDEX_0
S18::18995ee3f508,T1_REGENERATE_SLIB,GRAMMAR_FIRST_PER_SIDE=up
S18::3933c532ec9c,T1_REGENERATE_SLIB,GRAMMAR_FIRST_PER_SIDE=down
S19::762b6018f2c5,T1_REGENERATE_SLIB,GRAMMAR_INDEX_0
S20::3a706309724e,T1_REGENERATE_SLIB,GRAMMAR_INDEX_0
S21::6ddb75c3f9b1,T1_REGENERATE_SLIB,GRAMMAR_FIRST_PER_SIDE=high
S21::b61f7b31fafc,T1_REGENERATE_SLIB,GRAMMAR_FIRST_PER_SIDE=low
S22::e730d6bce802,T1_REGENERATE_SLIB,GRAMMAR_INDEX_0
S23::866611e1c7db,T1_REGENERATE_SLIB,GRAMMAR_INDEX_0
S24::a20c02d14359,T1_REGENERATE_SLIB,GRAMMAR_INDEX_0
S25::017b79ce0b9e,T1_REGENERATE_SLIB,GRAMMAR_INDEX_0
S26::f196a9ae20d6,T1_REGENERATE_SLIB,GRAMMAR_INDEX_0
S27::8492323d86e4,T1_REGENERATE_SLIB,GRAMMAR_INDEX_0
S28::b2a817579286,T1_REGENERATE_SLIB,GRAMMAR_INDEX_0
S29::bd28e989b4eb,T1_REGENERATE_SLIB,GRAMMAR_FIRST_PER_SIDE=up
S29::10d4532019fd,T1_REGENERATE_SLIB,GRAMMAR_FIRST_PER_SIDE=down
S30::282a94fa23d8,T1_REGENERATE_SLIB,GRAMMAR_INDEX_0
S31::555f488885b1,T1_REGENERATE_SLIB,GRAMMAR_FIRST_PER_SIDE=up
S31::9584b16899ad,T1_REGENERATE_SLIB,GRAMMAR_FIRST_PER_SIDE=down
S38::3029c9493a71,T1_REGENERATE_SLIB,GRAMMAR_INDEX_0
S39::cdecf371316b,T1_REGENERATE_SLIB,GRAMMAR_INDEX_0
S40::43b9c7dbd606,T1_REGENERATE_SLIB,GRAMMAR_INDEX_0
S41::73a2a8a65e5e,T1_REGENERATE_SLIB,GRAMMAR_INDEX_0
S42::a347eead7c5d,T1_REGENERATE_SLIB,GRAMMAR_INDEX_0
S43::6aacd27a298d,T1_REGENERATE_SLIB,GRAMMAR_INDEX_0
S44::3d6f380511c2,T1_REGENERATE_SLIB,GRAMMAR_INDEX_0
S45::4809d6e42bc2,T1_REGENERATE_SLIB,GRAMMAR_INDEX_0
S46::28bd0e966c33,T1_REGENERATE_SLIB,GRAMMAR_INDEX_0
S48::6d74b2000433,T1_REGENERATE_SLIB,GRAMMAR_INDEX_0
S50::9cc65b2c5452,T1_REGENERATE_SLIB,GRAMMAR_INDEX_0
S51::049ca99687f4,T1_REGENERATE_SLIB,GRAMMAR_INDEX_0
CAND0001,T2_REGENERATE_EDGERESEARCH,edge_research module
CAND0002,T2_REGENERATE_EDGERESEARCH,edge_research module
CAND0004,T2_REGENERATE_EDGERESEARCH,edge_research module
CAND0005,T2_REGENERATE_EDGERESEARCH,edge_research module
CAND0006,T2_REGENERATE_EDGERESEARCH,edge_research module
CAND0009,T2_REGENERATE_EDGERESEARCH,edge_research module
CAND0027,T2_REGENERATE_EDGERESEARCH,edge_research module
CAND0037,T2_REGENERATE_EDGERESEARCH,edge_research module
CAND0038,T2_REGENERATE_EDGERESEARCH,edge_research module
E005,T2_REGENERATE_EDGERESEARCH,edge_research module
E006,T2_REGENERATE_EDGERESEARCH,edge_research module
E008,T2_REGENERATE_EDGERESEARCH,edge_research module
E009,T2_REGENERATE_EDGERESEARCH,edge_research module
E010,T2_REGENERATE_EDGERESEARCH,edge_research module
E011,T2_REGENERATE_EDGERESEARCH,edge_research module
E012,T2_REGENERATE_EDGERESEARCH,edge_research module
E014,T2_REGENERATE_EDGERESEARCH,edge_research module
E015,T2_REGENERATE_EDGERESEARCH,edge_research module
E017,T2_REGENERATE_EDGERESEARCH,edge_research module
E025,T2_REGENERATE_EDGERESEARCH,edge_research module
E026,T2_REGENERATE_EDGERESEARCH,edge_research module
E027,T2_REGENERATE_EDGERESEARCH,edge_research module
E028,T2_REGENERATE_EDGERESEARCH,edge_research module
E029,T2_REGENERATE_EDGERESEARCH,edge_research module
E032,T2_REGENERATE_EDGERESEARCH,edge_research module
ALPHA_DISCOVERY_FACTORY_V2,T2_REGENERATE_FACTORY,alpha_discovery module
BLIND_FORWARD_STRUCTURE_DISCOVERY_V1,T2_REGENERATE_FACTORY,alpha_discovery module
CHRONOLOGICAL_MARKET_LEARNING,T2_REGENERATE_FACTORY,alpha_discovery module
CROSS_MARKET_RELATIVE_RESPONSE_FACTORY_V1,T2_REGENERATE_FACTORY,alpha_discovery module
DIRECTION_AGNOSTIC_EXPANSION_HARVEST_V1,T2_REGENERATE_FACTORY,alpha_discovery module
DXY_FRONTIER_V1,T2_REGENERATE_FACTORY,alpha_discovery module
H1_H4_SETUP_M5_EXECUTION_V1,T2_REGENERATE_FACTORY,alpha_discovery module
LONG_HORIZON_EVENT_REVEALED_DIRECTION_V1,T2_REGENERATE_FACTORY,alpha_discovery module
M5_EVENT_REVEALED_DIRECTION_FACTORY_V1,T2_REGENERATE_FACTORY,alpha_discovery module
OB_RETEST_FACTORY_V1,T2_REGENERATE_FACTORY,alpha_discovery module
SESSION_FRONTIER_SF1_SF3,T2_REGENERATE_FACTORY,alpha_discovery module
TEMPORAL_SEQUENCE_MINING_V1,T2_REGENERATE_FACTORY,alpha_discovery module
VOLPATH_FRONTIER,T2_REGENERATE_FACTORY,alpha_discovery module
VOLTIME_FRONTIER,T2_REGENERATE_FACTORY,alpha_discovery module
COMP_CONT_L_RR2,T2_REGENERATE_FROZEN_SPEC,frozen spec
CRS1_H4DIV_FADE_S,T2_REGENERATE_FROZEN_SPEC,frozen spec
E015_ORDER_BLOCK_REMITIGATION,T2_REGENERATE_FROZEN_SPEC,frozen spec
H4_BO_RAW_S,T2_REGENERATE_FROZEN_SPEC,frozen spec
HR_TU_PB_L,T2_REGENERATE_FROZEN_SPEC,frozen spec
MT_H4_DISPACCEPT_L,T2_REGENERATE_FROZEN_SPEC,frozen spec
