OBJECT_ID,FAMILY_ID,MECHANISM_ID,NAME,BLOCK,SOURCE_PROGRAM,SOURCE_REPORT,SOURCE_COMMIT,TIMEFRAME,DIRECTION,DATE_RANGE,VARIANTS,TRADES,BEST_VARIANT_EXP,STATUS,TRADE_LEVEL_DATA_AVAILABLE,TRADE_LOG_PATH,CAN_CAUSALLY_REGENERATE_TRADES,REGENERATOR,ATTRIBUTION_CLASS,KNOWN_DEFECTS,SUPERSEDES,SUPERSEDED_BY
S29,S29,M06_SESSION_TIME,Day-of-Week Effect,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),BOTH,2011-07-26..2026-07 (research 60/val 20/holdout 20),20,2228,0.4188,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S3,S3,M03_BREAKOUT_RETEST,Breakout Retest Continuation,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),BOTH,2011-07-26..2026-07 (research 60/val 20/holdout 20),96,165363,0.0634,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S30,S30,M06_SESSION_TIME,Kill-Zone Time-Window,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),both,2011-07-26..2026-07 (research 60/val 20/holdout 20),12,10782,-0.0163,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S31,S31,M06_SESSION_TIME,Month-End / Month-Start Effect,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),BOTH,2011-07-26..2026-07 (research 60/val 20/holdout 20),12,786,0.1783,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S32,S32,M22_EXOGENOUS_DATA,Intermarket / macro correlation,A,Executable Strategy Library (planned),code/strategy_library_metadata.py:383-388,,,,,0,0,,NOT_IMPLEMENTED,NO,,NO,,C_CANNOT_REGENERATE,DATA_BLOCKED: requires external data (CEO-gated),,
S33,S33,M22_EXOGENOUS_DATA,Cross-asset lead-lag,A,Executable Strategy Library (planned),code/strategy_library_metadata.py:383-388,,,,,0,0,,NOT_IMPLEMENTED,NO,,NO,,C_CANNOT_REGENERATE,DATA_BLOCKED: requires external data (CEO-gated),,
S34,S34,M22_EXOGENOUS_DATA,Rates / yield-curve conditioning,A,Executable Strategy Library (planned),code/strategy_library_metadata.py:383-388,,,,,0,0,,NOT_IMPLEMENTED,NO,,NO,,C_CANNOT_REGENERATE,DATA_BLOCKED: requires external data (CEO-gated),,
S35,S35,M22_EXOGENOUS_DATA,Positioning / COT,A,Executable Strategy Library (planned),code/strategy_library_metadata.py:383-388,,,,,0,0,,NOT_IMPLEMENTED,NO,,NO,,C_CANNOT_REGENERATE,DATA_BLOCKED: requires external data (CEO-gated),,
S36,S36,M22_EXOGENOUS_DATA,Macro-event / calendar-surprise,A,Executable Strategy Library (planned),code/strategy_library_metadata.py:383-388,,,,,0,0,,NOT_IMPLEMENTED,NO,,NO,,C_CANNOT_REGENERATE,DATA_BLOCKED: requires external data (CEO-gated),,
S37,S37,M22_EXOGENOUS_DATA,Sentiment / flow,A,Executable Strategy Library (planned),code/strategy_library_metadata.py:383-388,,,,,0,0,,NOT_IMPLEMENTED,NO,,NO,,C_CANNOT_REGENERATE,DATA_BLOCKED: requires external data (CEO-gated),,
S38,S38,M07_TREND_CONTINUATION,Patient Pullback-into-Zone,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),both,2011-07-26..2026-07 (research 60/val 20/holdout 20),36,54241,-0.0983,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S39,S39,M07_TREND_CONTINUATION,Trend-Efficiency-Gated Continuation,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),both,2011-07-26..2026-07 (research 60/val 20/holdout 20),24,23228,0.0305,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S4,S4,M04_VOLATILITY_COMPRESSION_EXPANSION,Volatility Compression Expansion,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),both,2011-07-26..2026-07 (research 60/val 20/holdout 20),32,44981,-0.1454,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S40,S40,M21_META_ROUTER,Regime Router,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),both,2011-07-26..2026-07 (research 60/val 20/holdout 20),16,39760,-0.1178,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S41,S41,M17_VOLUME_PARTICIPATION,Volume-Climax Reversal,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),both,2011-07-26..2026-07 (research 60/val 20/holdout 20),12,13450,-0.0387,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S42,S42,M08_EXTENSION_MEAN_REVERSION,Short-Term Return Reversal,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),both,2011-07-26..2026-07 (research 60/val 20/holdout 20),12,1834,0.1483,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S43,S43,M18_OSCILLATOR_DIVERGENCE,Momentum Divergence (RSI/Price),A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),both,2011-07-26..2026-07 (research 60/val 20/holdout 20),16,41933,-0.1007,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S44,S44,M17_VOLUME_PARTICIPATION,Intrabar Pressure / Close-Location,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),both,2011-07-26..2026-07 (research 60/val 20/holdout 20),12,20157,-0.0707,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S45,S45,M19_SEQUENCE_RUNLENGTH,Consecutive-Bar Streak,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),both,2011-07-26..2026-07 (research 60/val 20/holdout 20),12,14452,0.0448,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S46,S46,M03_BREAKOUT_RETEST,Volume-Confirmed Breakout,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),both,2011-07-26..2026-07 (research 60/val 20/holdout 20),24,21736,0.0172,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S47,S47,M15_GAP,Weekend-Gap Fill / Continuation,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),both,2011-07-26..2026-07 (research 60/val 20/holdout 20),12,84,-0.0727,INVALID,NO (summary parquet only),,NO,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",C_CANNOT_REGENERATE,n<25 (too-rare population; documented INVALID in build_strategy_library.py:318),,
S48,S48,M04_VOLATILITY_COMPRESSION_EXPANSION,Consolidation-Duration Breakout,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),both,2011-07-26..2026-07 (research 60/val 20/holdout 20),12,13752,-0.1296,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S49,S49,M04_VOLATILITY_COMPRESSION_EXPANSION,Narrowest-Range (NR) Breakout,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),BOTH,2011-07-26..2026-07 (research 60/val 20/holdout 20),0,0,,INVALID,NO (summary parquet only),,NO,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",C_CANNOT_REGENERATE,non-selective / non-discrete signal (documented INVALID; NO results parquet exists),,
S5,S5,M05_OPENING_RANGE,Opening-Range Breakout,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),BOTH,2011-07-26..2026-07 (research 60/val 20/holdout 20),96,54554,0.1658,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S50,S50,M20_CANDLESTICK_PATTERN,Outside-Bar / Engulfing Reversal,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),both,2011-07-26..2026-07 (research 60/val 20/holdout 20),12,26812,-0.0724,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S51,S51,M06_SESSION_TIME,Intraday Range-Position Reversion,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),both,2011-07-26..2026-07 (research 60/val 20/holdout 20),8,19659,-0.1261,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S6,S6,M06_SESSION_TIME,Session-Transition,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),BOTH,2011-07-26..2026-07 (research 60/val 20/holdout 20),32,10437,0.4973,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S7,S7,M07_TREND_CONTINUATION,Trend Pullback Continuation,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),both,2011-07-26..2026-07 (research 60/val 20/holdout 20),24,61738,-0.0987,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S8,S8,M08_EXTENSION_MEAN_REVERSION,Extension Mean-Reversion,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),BOTH,2011-07-26..2026-07 (research 60/val 20/holdout 20),48,35590,0.0291,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S9,S9,M09_MTF_ALIGNMENT,Multi-Timeframe Alignment,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),BOTH,2011-07-26..2026-07 (research 60/val 20/holdout 20),32,18870,0.068,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
ALPHA_DISCOVERY_FACTORY_V2,ALPHA_DISCOVERY_FACTORY_V2,M26_CONTRAST_MINING,Contrast miner H1/H2/H3,B,post-S51 Alpha factory / frontier,reports/alpha_discovery/,c77430d,varies,BOTH,varies,,,,NEGATIVE,NO,,YES,reports/alpha_discovery/*.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
BLIND_FORWARD_STRUCTURE_DISCOVERY_V1,BLIND_FORWARD_STRUCTURE_DISCOVERY_V1,M11_STRUCTURE_BREAK_REVERSAL,BFSD1-4 + ASREJ-1,B,post-S51 Alpha factory / frontier,reports/alpha_discovery/,99ed83c,varies,BOTH,varies,,,,NEGATIVE,NO,,YES,reports/alpha_discovery/*.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
CHRONOLOGICAL_MARKET_LEARNING,CHRONOLOGICAL_MARKET_LEARNING,M21_META_ROUTER,Walk-forward chrono reader (27 quarters),B,post-S51 Alpha factory / frontier,reports/alpha_discovery/,92f8ef0,varies,BOTH,varies,,,,NEGATIVE,NO,,YES,reports/alpha_discovery/*.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
CROSS_MARKET_RELATIVE_RESPONSE_FACTORY_V1,CROSS_MARKET_RELATIVE_RESPONSE_FACTORY_V1,M23_CROSS_MARKET,XAU-vs-DXY dislocation residual (5 families),B,post-S51 Alpha factory / frontier,reports/alpha_discovery/,4dabcda,varies,BOTH,varies,,,,NEGATIVE,NO,,YES,reports/alpha_discovery/*.py,B_REGENERATE_FROM_FROZEN_SPEC,"different panel (DXY-joined), not on the M15 pool",,
D4_ASIA_CLOSE_EDGE,D4_ASIA_CLOSE_EDGE,M06_SESSION_TIME,Asia close-at-edge -> next-6h magnitude,B,post-S51 Alpha factory / frontier,reports/alpha_discovery/,74541e7 (STAT),varies,BOTH,varies,,,,INFORMATION_ONLY,NO,,NO,reports/alpha_discovery/*.py,D_NO_LEGITIMATE_TRADE_POPULATION,"magnitude-only, direction z +0.06",,
DIRECTION_AGNOSTIC_EXPANSION_HARVEST_V1,DIRECTION_AGNOSTIC_EXPANSION_HARVEST_V1,M25_DIRECTION_AGNOSTIC_OCO,OCO prior-day-extreme continuation (1/1.5/2R),B,post-S51 Alpha factory / frontier,reports/alpha_discovery/,078c136,varies,BOTH,varies,,,,NEAR_MISS,NO,,YES,reports/alpha_discovery/*.py,B_REGENERATE_FROM_FROZEN_SPEC,STAT 94dff78: reproduces exactly but mechanism refuted (long-drift); gap-through fills; holdout consumed; stress-net<0,,
DXY_FRONTIER_V1,DXY_FRONTIER_V1,M23_CROSS_MARKET,DXY impulse / NDX1 joint convergence,B,post-S51 Alpha factory / frontier,reports/alpha_discovery/,fbbfb91,varies,BOTH,varies,,,,INFORMATION_ONLY,NO,,YES,reports/alpha_discovery/*.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
GOLD_ORDER_FLOW_DISCOVERY_V1,GOLD_ORDER_FLOW_DISCOVERY_V1,M17_VOLUME_PARTICIPATION,GC MBO order flow,B,post-S51 Alpha factory / frontier,reports/alpha_discovery/,c4e2add,varies,BOTH,varies,,,,DATA_BLOCKED,NO,,NO,reports/alpha_discovery/*.py,D_NO_LEGITIMATE_TRADE_POPULATION,2-week sample only; TIER_C for research (STAT af6790c confirms),,
H1_H4_SETUP_M5_EXECUTION_V1,H1_H4_SETUP_M5_EXECUTION_V1,M09_MTF_ALIGNMENT,HTF setup + M5 execution,B,post-S51 Alpha factory / frontier,reports/alpha_discovery/,bee6aca,varies,BOTH,varies,,,,NEGATIVE,NO,,YES,reports/alpha_discovery/*.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
L1_LONDON,L1_LONDON,M06_SESSION_TIME,L1 diurnal path asymmetry,B,post-S51 Alpha factory / frontier,reports/alpha_discovery/,2fe30fb/d97ed3a,varies,BOTH,varies,,,,INFORMATION_ONLY,NO,,NO,reports/alpha_discovery/*.py,D_NO_LEGITIMATE_TRADE_POPULATION,"window statistic, not a trade population; STAT cb6f28c froze the exact spec",,
LONG_HORIZON_EVENT_REVEALED_DIRECTION_V1,LONG_HORIZON_EVENT_REVEALED_DIRECTION_V1,M24_EVENT_REVEALED_RESPONSE,24h event-revealed direction,B,post-S51 Alpha factory / frontier,reports/alpha_discovery/,35b86b3,varies,BOTH,varies,,,,NEGATIVE,NO,,YES,reports/alpha_discovery/*.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
